model,dimension,count_-1,indices_in_points,items
Llama,Actionability,19,"[10, 28, 36, 74, 112, 134, 152, 178, 184, 188, 196, 214, 248, 282, 298, 304, 324, 332, 360]","['llama_output.json#5', 'llama_output.json#14', 'llama_output.json#18', 'llama_output.json#37', 'llama_output.json#56', 'llama_output.json#67', 'llama_output.json#76', 'llama_output.json#89', 'llama_output.json#92', 'llama_output.json#94', 'llama_output.json#98', 'llama_output.json#107', 'llama_output.json#124', 'llama_output.json#141', 'llama_output.json#149', 'llama_output.json#152', 'llama_output.json#162', 'llama_output.json#166', 'llama_output.json#180']"
Llama,Coherence,18,"[10, 28, 36, 74, 112, 134, 152, 178, 188, 196, 214, 248, 282, 298, 304, 324, 332, 360]","['llama_output.json#5', 'llama_output.json#14', 'llama_output.json#18', 'llama_output.json#37', 'llama_output.json#56', 'llama_output.json#67', 'llama_output.json#76', 'llama_output.json#89', 'llama_output.json#94', 'llama_output.json#98', 'llama_output.json#107', 'llama_output.json#124', 'llama_output.json#141', 'llama_output.json#149', 'llama_output.json#152', 'llama_output.json#162', 'llama_output.json#166', 'llama_output.json#180']"
Llama,Human-likeness,19,"[10, 28, 36, 74, 112, 134, 152, 178, 184, 188, 196, 214, 248, 282, 298, 304, 324, 332, 360]","['llama_output.json#5', 'llama_output.json#14', 'llama_output.json#18', 'llama_output.json#37', 'llama_output.json#56', 'llama_output.json#67', 'llama_output.json#76', 'llama_output.json#89', 'llama_output.json#92', 'llama_output.json#94', 'llama_output.json#98', 'llama_output.json#107', 'llama_output.json#124', 'llama_output.json#141', 'llama_output.json#149', 'llama_output.json#152', 'llama_output.json#162', 'llama_output.json#166', 'llama_output.json#180']"
Llama,Mistake Identification,19,"[10, 28, 36, 74, 112, 134, 152, 178, 184, 188, 196, 214, 248, 282, 298, 304, 324, 332, 360]","['llama_output.json#5', 'llama_output.json#14', 'llama_output.json#18', 'llama_output.json#37', 'llama_output.json#56', 'llama_output.json#67', 'llama_output.json#76', 'llama_output.json#89', 'llama_output.json#92', 'llama_output.json#94', 'llama_output.json#98', 'llama_output.json#107', 'llama_output.json#124', 'llama_output.json#141', 'llama_output.json#149', 'llama_output.json#152', 'llama_output.json#162', 'llama_output.json#166', 'llama_output.json#180']"
Llama,Mistake Location,19,"[10, 28, 36, 74, 112, 134, 152, 178, 184, 188, 196, 214, 248, 282, 298, 304, 324, 332, 360]","['llama_output.json#5', 'llama_output.json#14', 'llama_output.json#18', 'llama_output.json#37', 'llama_output.json#56', 'llama_output.json#67', 'llama_output.json#76', 'llama_output.json#89', 'llama_output.json#92', 'llama_output.json#94', 'llama_output.json#98', 'llama_output.json#107', 'llama_output.json#124', 'llama_output.json#141', 'llama_output.json#149', 'llama_output.json#152', 'llama_output.json#162', 'llama_output.json#166', 'llama_output.json#180']"
Llama,Providing Guidance,19,"[10, 28, 36, 74, 112, 134, 152, 178, 184, 188, 196, 214, 248, 282, 298, 304, 324, 332, 360]","['llama_output.json#5', 'llama_output.json#14', 'llama_output.json#18', 'llama_output.json#37', 'llama_output.json#56', 'llama_output.json#67', 'llama_output.json#76', 'llama_output.json#89', 'llama_output.json#92', 'llama_output.json#94', 'llama_output.json#98', 'llama_output.json#107', 'llama_output.json#124', 'llama_output.json#141', 'llama_output.json#149', 'llama_output.json#152', 'llama_output.json#162', 'llama_output.json#166', 'llama_output.json#180']"
Llama,Revealing the Answer,19,"[10, 28, 36, 74, 112, 134, 152, 178, 184, 188, 196, 214, 248, 282, 298, 304, 324, 332, 360]","['llama_output.json#5', 'llama_output.json#14', 'llama_output.json#18', 'llama_output.json#37', 'llama_output.json#56', 'llama_output.json#67', 'llama_output.json#76', 'llama_output.json#89', 'llama_output.json#92', 'llama_output.json#94', 'llama_output.json#98', 'llama_output.json#107', 'llama_output.json#124', 'llama_output.json#141', 'llama_output.json#149', 'llama_output.json#152', 'llama_output.json#162', 'llama_output.json#166', 'llama_output.json#180']"
Llama,Tutor Tone,19,"[10, 28, 36, 74, 112, 134, 152, 178, 184, 188, 196, 214, 248, 282, 298, 304, 324, 332, 360]","['llama_output.json#5', 'llama_output.json#14', 'llama_output.json#18', 'llama_output.json#37', 'llama_output.json#56', 'llama_output.json#67', 'llama_output.json#76', 'llama_output.json#89', 'llama_output.json#92', 'llama_output.json#94', 'llama_output.json#98', 'llama_output.json#107', 'llama_output.json#124', 'llama_output.json#141', 'llama_output.json#149', 'llama_output.json#152', 'llama_output.json#162', 'llama_output.json#166', 'llama_output.json#180']"
Mistral,Actionability,14,"[49, 71, 75, 87, 157, 183, 201, 229, 255, 257, 303, 333, 337, 339]","['mistral_output.json#24', 'mistral_output.json#35', 'mistral_output.json#37', 'mistral_output.json#43', 'mistral_output.json#78', 'mistral_output.json#91', 'mistral_output.json#100', 'mistral_output.json#114', 'mistral_output.json#127', 'mistral_output.json#128', 'mistral_output.json#151', 'mistral_output.json#166', 'mistral_output.json#168', 'mistral_output.json#169']"
Mistral,Coherence,13,"[49, 71, 75, 87, 157, 183, 201, 229, 255, 257, 303, 333, 337]","['mistral_output.json#24', 'mistral_output.json#35', 'mistral_output.json#37', 'mistral_output.json#43', 'mistral_output.json#78', 'mistral_output.json#91', 'mistral_output.json#100', 'mistral_output.json#114', 'mistral_output.json#127', 'mistral_output.json#128', 'mistral_output.json#151', 'mistral_output.json#166', 'mistral_output.json#168']"
Mistral,Human-likeness,14,"[49, 71, 75, 87, 157, 183, 201, 229, 255, 257, 303, 333, 337, 339]","['mistral_output.json#24', 'mistral_output.json#35', 'mistral_output.json#37', 'mistral_output.json#43', 'mistral_output.json#78', 'mistral_output.json#91', 'mistral_output.json#100', 'mistral_output.json#114', 'mistral_output.json#127', 'mistral_output.json#128', 'mistral_output.json#151', 'mistral_output.json#166', 'mistral_output.json#168', 'mistral_output.json#169']"
Mistral,Mistake Identification,14,"[49, 71, 75, 87, 157, 183, 201, 229, 255, 257, 303, 333, 337, 339]","['mistral_output.json#24', 'mistral_output.json#35', 'mistral_output.json#37', 'mistral_output.json#43', 'mistral_output.json#78', 'mistral_output.json#91', 'mistral_output.json#100', 'mistral_output.json#114', 'mistral_output.json#127', 'mistral_output.json#128', 'mistral_output.json#151', 'mistral_output.json#166', 'mistral_output.json#168', 'mistral_output.json#169']"
Mistral,Mistake Location,14,"[49, 71, 75, 87, 157, 183, 201, 229, 255, 257, 303, 333, 337, 339]","['mistral_output.json#24', 'mistral_output.json#35', 'mistral_output.json#37', 'mistral_output.json#43', 'mistral_output.json#78', 'mistral_output.json#91', 'mistral_output.json#100', 'mistral_output.json#114', 'mistral_output.json#127', 'mistral_output.json#128', 'mistral_output.json#151', 'mistral_output.json#166', 'mistral_output.json#168', 'mistral_output.json#169']"
Mistral,Providing Guidance,14,"[49, 71, 75, 87, 157, 183, 201, 229, 255, 257, 303, 333, 337, 339]","['mistral_output.json#24', 'mistral_output.json#35', 'mistral_output.json#37', 'mistral_output.json#43', 'mistral_output.json#78', 'mistral_output.json#91', 'mistral_output.json#100', 'mistral_output.json#114', 'mistral_output.json#127', 'mistral_output.json#128', 'mistral_output.json#151', 'mistral_output.json#166', 'mistral_output.json#168', 'mistral_output.json#169']"
Mistral,Revealing the Answer,14,"[49, 71, 75, 87, 157, 183, 201, 229, 255, 257, 303, 333, 337, 339]","['mistral_output.json#24', 'mistral_output.json#35', 'mistral_output.json#37', 'mistral_output.json#43', 'mistral_output.json#78', 'mistral_output.json#91', 'mistral_output.json#100', 'mistral_output.json#114', 'mistral_output.json#127', 'mistral_output.json#128', 'mistral_output.json#151', 'mistral_output.json#166', 'mistral_output.json#168', 'mistral_output.json#169']"
Mistral,Tutor Tone,14,"[49, 71, 75, 87, 157, 183, 201, 229, 255, 257, 303, 333, 337, 339]","['mistral_output.json#24', 'mistral_output.json#35', 'mistral_output.json#37', 'mistral_output.json#43', 'mistral_output.json#78', 'mistral_output.json#91', 'mistral_output.json#100', 'mistral_output.json#114', 'mistral_output.json#127', 'mistral_output.json#128', 'mistral_output.json#151', 'mistral_output.json#166', 'mistral_output.json#168', 'mistral_output.json#169']"
